---,EmblemPartsId,Name,EmblemPartsType,DefaultEmblemPartsFlag,IsEditable,Texture,FlagTexture,Descprition
99,20064,フローズン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0064.Tex_Emblem_02_0064',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0064_Flag.Tex_Emblem_02_0064_Flag',
100,20065,ハートフル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0065.Tex_Emblem_02_0065',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0065_Flag.Tex_Emblem_02_0065_Flag',
101,20066,蓮,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0066.Tex_Emblem_02_0066',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0066_Flag.Tex_Emblem_02_0066_Flag',
102,20067,ローズ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0067.Tex_Emblem_02_0067',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0067_Flag.Tex_Emblem_02_0067_Flag',
103,20068,フラワーマーク,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0068.Tex_Emblem_02_0068',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0068_Flag.Tex_Emblem_02_0068_Flag',
104,20069,バンブーリーフ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0069.Tex_Emblem_02_0069',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0069_Flag.Tex_Emblem_02_0069_Flag',
105,20070,クローバーリーフ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0070.Tex_Emblem_02_0070',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0070_Flag.Tex_Emblem_02_0070_Flag',
106,20071,オールドヘルム,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0071.Tex_Emblem_02_0071',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0071_Flag.Tex_Emblem_02_0071_Flag',
107,20072,フルールトリス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0072.Tex_Emblem_02_0072',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0072_Flag.Tex_Emblem_02_0072_Flag',
108,20073,トランプ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0073.Tex_Emblem_02_0073',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0073_Flag.Tex_Emblem_02_0073_Flag',
109,20074,メイドウェア,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0074.Tex_Emblem_02_0074',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0074_Flag.Tex_Emblem_02_0074_Flag',
110,20075,素敵ブローチ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0075.Tex_Emblem_02_0075',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0075_Flag.Tex_Emblem_02_0075_Flag',
111,20076,ザ・マスク,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0076.Tex_Emblem_02_0076',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0076_Flag.Tex_Emblem_02_0076_Flag',
112,20077,リボン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0077.Tex_Emblem_02_0077',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0077_Flag.Tex_Emblem_02_0077_Flag',
113,20078,ハートキー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0078.Tex_Emblem_02_0078',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0078_Flag.Tex_Emblem_02_0078_Flag',
114,20079,ツインベル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0079.Tex_Emblem_02_0079',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0079_Flag.Tex_Emblem_02_0079_Flag',
115,20080,フォーリンラブ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0080.Tex_Emblem_02_0080',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0080_Flag.Tex_Emblem_02_0080_Flag',
116,20081,セーラーウェア,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0081.Tex_Emblem_02_0081',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0081_Flag.Tex_Emblem_02_0081_Flag',
117,20082,フライングハート,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0082.Tex_Emblem_02_0082',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0082_Flag.Tex_Emblem_02_0082_Flag',
118,20083,シャープソウル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0083.Tex_Emblem_02_0083',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0083_Flag.Tex_Emblem_02_0083_Flag',
119,20084,シェイプウォーター,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0084.Tex_Emblem_02_0084',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0084_Flag.Tex_Emblem_02_0084_Flag',
120,20085,スピードウイングA,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0085.Tex_Emblem_02_0085',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0085_Flag.Tex_Emblem_02_0085_Flag',
121,20086,スピードウイングB,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0086.Tex_Emblem_02_0086',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0086_Flag.Tex_Emblem_02_0086_Flag',
122,20087,フライングスター,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0087.Tex_Emblem_02_0087',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0087_Flag.Tex_Emblem_02_0087_Flag',
123,20088,ガンスクウェア,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0088.Tex_Emblem_02_0088',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0088_Flag.Tex_Emblem_02_0088_Flag',
124,20089,トーン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0089.Tex_Emblem_02_0089',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0089_Flag.Tex_Emblem_02_0089_Flag',
125,20090,スピナ－,Main,True,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0090.Tex_Emblem_02_0090',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0090_Flag.Tex_Emblem_02_0090_Flag',
126,20091,初心者マーク,Main,True,False,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0091.Tex_Emblem_02_0091',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0091_Flag.Tex_Emblem_02_0091_Flag',
127,20092,鏡餅,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0092.Tex_Emblem_02_0092',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0092_Flag.Tex_Emblem_02_0092_Flag',
128,20093,羽子板,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0093.Tex_Emblem_02_0093',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0093_Flag.Tex_Emblem_02_0093_Flag',
129,20094,門松,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0094.Tex_Emblem_02_0094',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0094_Flag.Tex_Emblem_02_0094_Flag',
130,20095,豆まき,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0095.Tex_Emblem_02_0095',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0095_Flag.Tex_Emblem_02_0095_Flag',
131,20096,恵方巻き,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0096.Tex_Emblem_02_0096',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0096_Flag.Tex_Emblem_02_0096_Flag',
132,20097,チョコ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0097.Tex_Emblem_02_0097',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0097_Flag.Tex_Emblem_02_0097_Flag',
133,20098,プレゼント,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0098.Tex_Emblem_02_0098',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0098_Flag.Tex_Emblem_02_0098_Flag',
134,20099,お雛様,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0099.Tex_Emblem_02_0099',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0099_Flag.Tex_Emblem_02_0099_Flag',
135,20100,ひな祭り,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0100.Tex_Emblem_02_0100',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0100_Flag.Tex_Emblem_02_0100_Flag',
136,20101,桜,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0101.Tex_Emblem_02_0101',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0101_Flag.Tex_Emblem_02_0101_Flag',
137,20102,三色団子,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0102.Tex_Emblem_02_0102',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0102_Flag.Tex_Emblem_02_0102_Flag',
138,20103,鯉のぼり,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0103.Tex_Emblem_02_0103',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0103_Flag.Tex_Emblem_02_0103_Flag',
139,20104,カブト,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0104.Tex_Emblem_02_0104',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0104_Flag.Tex_Emblem_02_0104_Flag',
140,20105,柏餅,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0105.Tex_Emblem_02_0105',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0105_Flag.Tex_Emblem_02_0105_Flag',
141,20106,カタツムリ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0106.Tex_Emblem_02_0106',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0106_Flag.Tex_Emblem_02_0106_Flag',
142,20107,てるてるぼうず,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0107.Tex_Emblem_02_0107',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0107_Flag.Tex_Emblem_02_0107_Flag',
143,20108,傘,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0108.Tex_Emblem_02_0108',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0108_Flag.Tex_Emblem_02_0108_Flag',
144,20109,短冊,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0109.Tex_Emblem_02_0109',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0109_Flag.Tex_Emblem_02_0109_Flag',
145,20110,織姫と彦星,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0110.Tex_Emblem_02_0110',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0110_Flag.Tex_Emblem_02_0110_Flag',
146,20111,天の川,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0111.Tex_Emblem_02_0111',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0111_Flag.Tex_Emblem_02_0111_Flag',
147,20112,ひまわり,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0112.Tex_Emblem_02_0112',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0112_Flag.Tex_Emblem_02_0112_Flag',
148,20113,スイカ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0113.Tex_Emblem_02_0113',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0113_Flag.Tex_Emblem_02_0113_Flag',
149,20114,浮き輪とハイビスカス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0114.Tex_Emblem_02_0114',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0114_Flag.Tex_Emblem_02_0114_Flag',
150,20115,かとり豚,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0115.Tex_Emblem_02_0115',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0115_Flag.Tex_Emblem_02_0115_Flag',
151,20116,かき氷,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0116.Tex_Emblem_02_0116',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0116_Flag.Tex_Emblem_02_0116_Flag',
152,20117,お月見団子,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0117.Tex_Emblem_02_0117',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0117_Flag.Tex_Emblem_02_0117_Flag',
153,20118,うさぎオンザムーン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0118.Tex_Emblem_02_0118',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0118_Flag.Tex_Emblem_02_0118_Flag',
154,20119,紅葉,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0119.Tex_Emblem_02_0119',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0119_Flag.Tex_Emblem_02_0119_Flag',
155,20120,どんぐり,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0120.Tex_Emblem_02_0120',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0120_Flag.Tex_Emblem_02_0120_Flag',
156,20121,くり,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0121.Tex_Emblem_02_0121',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0121_Flag.Tex_Emblem_02_0121_Flag',
157,20122,ゴースト,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0122.Tex_Emblem_02_0122',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0122_Flag.Tex_Emblem_02_0122_Flag',
158,20123,ジャックオーランタン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0123.Tex_Emblem_02_0123',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0123_Flag.Tex_Emblem_02_0123_Flag',
159,20124,クリスマスツリー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0124.Tex_Emblem_02_0124',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0124_Flag.Tex_Emblem_02_0124_Flag',
160,20125,サンタ人形,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0125.Tex_Emblem_02_0125',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0125_Flag.Tex_Emblem_02_0125_Flag',
161,20126,クリスマスプレゼント,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0126.Tex_Emblem_02_0126',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0126_Flag.Tex_Emblem_02_0126_Flag',
162,20127,雪だるま,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0127.Tex_Emblem_02_0127',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0127_Flag.Tex_Emblem_02_0127_Flag',
163,20128,北海道,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0128.Tex_Emblem_02_0128',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0128_Flag.Tex_Emblem_02_0128_Flag',
164,20129,青森,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0129.Tex_Emblem_02_0129',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0129_Flag.Tex_Emblem_02_0129_Flag',
165,20130,岩手,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0130.Tex_Emblem_02_0130',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0130_Flag.Tex_Emblem_02_0130_Flag',
166,20131,宮城,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0131.Tex_Emblem_02_0131',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0131_Flag.Tex_Emblem_02_0131_Flag',
167,20132,秋田,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0132.Tex_Emblem_02_0132',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0132_Flag.Tex_Emblem_02_0132_Flag',
168,20133,山形,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0133.Tex_Emblem_02_0133',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0133_Flag.Tex_Emblem_02_0133_Flag',
169,20134,福島,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0134.Tex_Emblem_02_0134',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0134_Flag.Tex_Emblem_02_0134_Flag',
170,20135,茨城,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0135.Tex_Emblem_02_0135',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0135_Flag.Tex_Emblem_02_0135_Flag',
171,20136,栃木,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0136.Tex_Emblem_02_0136',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0136_Flag.Tex_Emblem_02_0136_Flag',
172,20137,群馬,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0137.Tex_Emblem_02_0137',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0137_Flag.Tex_Emblem_02_0137_Flag',
173,20138,埼玉,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0138.Tex_Emblem_02_0138',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0138_Flag.Tex_Emblem_02_0138_Flag',
174,20139,千葉,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0139.Tex_Emblem_02_0139',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0139_Flag.Tex_Emblem_02_0139_Flag',
175,20140,東京,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0140.Tex_Emblem_02_0140',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0140_Flag.Tex_Emblem_02_0140_Flag',
176,20141,神奈川,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0141.Tex_Emblem_02_0141',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0141_Flag.Tex_Emblem_02_0141_Flag',
177,20142,新潟,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0142.Tex_Emblem_02_0142',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0142_Flag.Tex_Emblem_02_0142_Flag',
178,20143,富山,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0143.Tex_Emblem_02_0143',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0143_Flag.Tex_Emblem_02_0143_Flag',
179,20144,石川,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0144.Tex_Emblem_02_0144',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0144_Flag.Tex_Emblem_02_0144_Flag',
180,20145,福井,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0145.Tex_Emblem_02_0145',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0145_Flag.Tex_Emblem_02_0145_Flag',
181,20146,山梨,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0146.Tex_Emblem_02_0146',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0146_Flag.Tex_Emblem_02_0146_Flag',
182,20147,長野,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0147.Tex_Emblem_02_0147',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0147_Flag.Tex_Emblem_02_0147_Flag',
183,20148,岐阜,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0148.Tex_Emblem_02_0148',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0148_Flag.Tex_Emblem_02_0148_Flag',
184,20149,静岡,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0149.Tex_Emblem_02_0149',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0149_Flag.Tex_Emblem_02_0149_Flag',
185,20150,愛知,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0150.Tex_Emblem_02_0150',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0150_Flag.Tex_Emblem_02_0150_Flag',
186,20151,三重,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0151.Tex_Emblem_02_0151',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0151_Flag.Tex_Emblem_02_0151_Flag',
187,20152,滋賀,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0152.Tex_Emblem_02_0152',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0152_Flag.Tex_Emblem_02_0152_Flag',
188,20153,京都,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0153.Tex_Emblem_02_0153',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0153_Flag.Tex_Emblem_02_0153_Flag',
189,20154,大阪,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0154.Tex_Emblem_02_0154',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0154_Flag.Tex_Emblem_02_0154_Flag',
190,20155,兵庫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0155.Tex_Emblem_02_0155',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0155_Flag.Tex_Emblem_02_0155_Flag',
191,20156,奈良,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0156.Tex_Emblem_02_0156',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0156_Flag.Tex_Emblem_02_0156_Flag',
192,20157,和歌山,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0157.Tex_Emblem_02_0157',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0157_Flag.Tex_Emblem_02_0157_Flag',
193,20158,鳥取,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0158.Tex_Emblem_02_0158',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0158_Flag.Tex_Emblem_02_0158_Flag',
194,20159,島根,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0159.Tex_Emblem_02_0159',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0159_Flag.Tex_Emblem_02_0159_Flag',
195,20160,岡山,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0160.Tex_Emblem_02_0160',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0160_Flag.Tex_Emblem_02_0160_Flag',
196,20161,広島,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0161.Tex_Emblem_02_0161',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0161_Flag.Tex_Emblem_02_0161_Flag',
197,20162,山口,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0162.Tex_Emblem_02_0162',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0162_Flag.Tex_Emblem_02_0162_Flag',
198,20163,徳島,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0163.Tex_Emblem_02_0163',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0163_Flag.Tex_Emblem_02_0163_Flag',
