---,ID,NicePlayType,NicePlayScoreType,EvaluationType,NicePlayID,EvaluationTargetType,Description,NicePlayTitle,TexturePtr,Level,ScoreValue,IsTickcable,ThresholdCount,DisplayType
115,115,6,6,2,115,1,敵エースをダウンさせた時の貢献度（１位,敵エースをダウンさせた(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,600,0,0,0
116,116,6,6,2,116,1,敵エースをダウンさせた時の貢献度（２位,敵エースをダウンさせた(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,400,0,0,0
117,117,6,6,2,117,1,敵エースをダウンさせた時の貢献度（３位,敵エースをダウンさせた(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,200,0,0,0
118,118,6,6,2,118,2,大技を阻止した,敵エースのコア攻撃を阻止(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,200,0,0,0
119,119,6,6,2,119,1,一度も撃破されないで勝利する,一度も撃破されないで勝利する,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,300,0,0,0
120,120,6,6,2,120,1,敵エースの攻撃を防御した,敵エースの攻撃を防御(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',2,100,1,1,0
121,121,6,6,2,121,1,フルドライブ中の敵エースを攻撃,フルドライブ中の敵を攻撃(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,200,0,0,0
122,122,6,6,2,122,2,味方チームゲージを70%残して勝利,味方チームゲージを70%残して勝利,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',5,500,0,0.7,0
123,123,6,6,2,123,2,味方チームゲージを50%残して勝利,味方チームゲージを50%残して勝利,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,300,0,0.5,0
124,124,6,6,2,124,2,味方チームゲージを30%残して勝利,味方チームゲージを30%残して勝利,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',1,150,0,0.3,0
125,125,6,6,2,125,1,Xマグを撃破,Xマグを撃破,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,200,1,1,0
126,126,6,6,2,126,1,Xマグを2体撃破,Xマグを2体撃破,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,300,1,2,0
127,127,6,6,2,127,1,Xマグを3体撃破,Xマグを3体撃破,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',5,500,1,3,0
128,128,6,6,2,128,1,Xマグに合計で1000ダメージ与えた,Xマグに1000ダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,200,1,1000,0
129,129,6,6,2,129,1,Xマグに合計で2000ダメージ与えた,Xマグに2000ダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,500,1,2000,0
130,130,6,6,2,130,1,Xマグに合計で3000ダメージ与えた,Xマグに3000ダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',5,800,1,3000,0
